Quantity,Start Date,Actual Stop Date,Unit Price Excl. Tax,Price Type,Invoice Detail ID Description,Quantity Shipped,Line No.,customer_code
1.0,2/2/2024,3/27/2024,"1,373.00",Per Month,Lease/Rental,1.0,10000,customer_1
1.0,2/2/2024,3/27/2024,150.00,Per Month,Lease/Rental,1.0,20000,customer_1
1.0,2/2/2024,,800.00,,Installation/Service,1.0,30000,customer_1
4.0,2/2/2024,3/27/2024,125.00,Per Month,Monitoring,4.0,40000,customer_1
1.0,2/2/2024,8/13/2024,"1,093.00",Per Month,Lease/Rental,1.0,10000,customer_2
1.0,2/2/2024,8/13/2024,150.00,Per Month,Lease/Rental,1.0,20000,customer_2
1.0,2/2/2024,8/13/2024,50.00,Per Month,Other Rev & Reimbursement,1.0,30000,customer_2
1.0,2/2/2024,,600.00,,Installation/Service,1.0,40000,customer_2
3.0,2/2/2024,8/13/2024,125.00,Per Month,Monitoring,3.0,50000,customer_2
1.0,2/2/2024,8/13/2024,825.00,Per Month,Lease/Rental,1.0,60000,customer_2
1.0,2/2/2024,8/13/2024,150.00,Per Month,Lease/Rental,1.0,70000,customer_2
1.0,2/2/2024,8/13/2024,50.00,Per Month,Other Rev & Reimbursement,1.0,80000,customer_2
1.0,2/2/2024,,600.00,,Installation/Service,1.0,90000,customer_2
4.0,2/2/2024,8/13/2024,125.00,Per Month,Monitoring,4.0,100000,customer_2
1.0,5/23/2024,,481.00,Per Month,Lease/Rental,1.0,10000,customer_3
1.0,5/23/2024,,481.50,Per Month,Lease/Rental,1.0,20000,customer_3
1.0,5/23/2024,,481.50,Per Month,Lease/Rental,1.0,30000,customer_3
1.0,5/23/2024,,481.50,Per Month,Lease/Rental,1.0,40000,customer_3
1.0,5/23/2024,,825.00,Per Month,Lease/Rental,1.0,50000,customer_3
1.0,5/23/2024,,825.00,Per Month,Lease/Rental,1.0,60000,customer_3
1.0,5/23/2024,,825.00,Per Month,Lease/Rental,1.0,70000,customer_3
1.0,5/23/2024,,825.00,Per Month,Lease/Rental,1.0,90000,customer_3
1.0,5/23/2024,,825.00,Per Month,Lease/Rental,1.0,100000,customer_3
1.0,5/23/2024,,150.00,Per Month,Lease/Rental,1.0,110000,customer_3
1.0,5/23/2024,,150.00,Per Month,Lease/Rental,1.0,120000,customer_3
1.0,5/23/2024,,150.00,Per Month,Lease/Rental,1.0,130000,customer_3
1.0,5/23/2024,,150.00,Per Month,Lease/Rental,1.0,140000,customer_3
1.0,5/23/2024,,150.00,Per Month,Lease/Rental,1.0,150000,customer_3
1.0,5/23/2024,,150.00,Per Month,Lease/Rental,1.0,160000,customer_3
1.0,5/23/2024,,150.00,Per Month,Lease/Rental,1.0,170000,customer_3
1.0,5/23/2024,,150.00,Per Month,Lease/Rental,1.0,180000,customer_3
1.0,5/23/2024,,150.00,Per Month,Lease/Rental,1.0,190000,customer_3
1.0,5/23/2024,,50.00,Per Month,Damage Waiver,1.0,200000,customer_3
1.0,5/23/2024,,50.00,Per Month,Damage Waiver,1.0,210000,customer_3
1.0,5/23/2024,,50.00,Per Month,Damage Waiver,1.0,220000,customer_3
1.0,5/23/2024,,50.00,Per Month,Damage Waiver,1.0,230000,customer_3
1.0,5/23/2024,,50.00,Per Month,Damage Waiver,1.0,240000,customer_3
1.0,5/23/2024,,50.00,Per Month,Damage Waiver,1.0,250000,customer_3
1.0,5/23/2024,,50.00,Per Month,Damage Waiver,1.0,260000,customer_3
1.0,5/23/2024,,50.00,Per Month,Damage Waiver,1.0,270000,customer_3
1.0,5/23/2024,,50.00,Per Month,Damage Waiver,1.0,280000,customer_3
1.0,5/23/2024,,600.00,,Installation/Service,1.0,290000,customer_3
1.0,5/23/2024,,600.00,,Installation/Service,1.0,300000,customer_3
1.0,5/23/2024,,600.00,,Installation/Service,1.0,310000,customer_3
1.0,5/23/2024,,600.00,,Installation/Service,1.0,320000,customer_3
1.0,5/23/2024,,600.00,,Installation/Service,1.0,330000,customer_3
1.0,5/23/2024,,600.00,,Installation/Service,1.0,340000,customer_3
1.0,5/23/2024,,600.00,,Installation/Service,1.0,350000,customer_3
1.0,5/23/2024,,600.00,,Installation/Service,1.0,360000,customer_3
1.0,5/23/2024,,600.00,,Installation/Service,1.0,370000,customer_3
1.0,5/23/2024,,250.00,Per Month,Monitoring,1.0,380000,customer_3
1.0,5/23/2024,,250.00,Per Month,Monitoring,1.0,390000,customer_3
1.0,5/23/2024,,250.00,Per Month,Monitoring,1.0,400000,customer_3
1.0,5/23/2024,,250.00,Per Month,Monitoring,1.0,410000,customer_3
1.0,5/23/2024,,250.00,Per Month,Monitoring,1.0,420000,customer_3
1.0,5/23/2024,,250.00,Per Month,Monitoring,1.0,430000,customer_3
1.0,5/23/2024,,250.00,Per Month,Monitoring,1.0,440000,customer_3
1.0,5/23/2024,,250.00,Per Month,Monitoring,1.0,450000,customer_3
1.0,5/23/2024,,250.00,Per Month,Monitoring,1.0,460000,customer_3
1.0,3/1/2024,,890.00,Per Month,Lease/Rental,1.0,10000,customer_4
1.0,3/1/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_4
1.0,3/1/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_4
1.0,3/1/2024,,800.00,,Installation/Service,1.0,40000,customer_4
2.0,3/1/2024,,175.00,Per Month,Monitoring,2.0,50000,customer_4
1.0,3/1/2024,,75.00,Per Month,Maintenance Agreements,1.0,60000,customer_4
1.0,2/9/2024,,749.00,Per Month,Lease/Rental,1.0,10000,customer_5
1.0,2/9/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_5
